x,y
1.0708676563478674,-0.4182798470659356
1.0749137158967588,-0.41827685909665063
1.0789611707702955,-0.4182738634724781
1.083010020962933,-0.41827086010381226
1.087060262516466,-0.41826785204624434
1.0911118954087196,-0.4182648389413518
1.0951649188496408,-0.41826182144099516
1.0992193323085977,-0.41825880022238054
1.1032751347036902,-0.4182557759088545
1.1073323303236495,-0.4182527436690955
1.1113909182811401,-0.4182497041454594
1.1154509000277368,-0.41824665610979933
1.119512277640493,-0.41824359811099016
1.1235750518673193,-0.4182405291717355
1.127639220030685,-0.4182374523848999
1.1317047833476102,-0.41823436660595337
1.1357717395213873,-0.4182312722117407
1.1398400861510187,-0.4182281695129529
1.1439098248197876,-0.41822505829143686
1.1479809543079988,-0.4182219368199747
1.1520534751383786,-0.4182188058388027
1.1561273847457374,-0.4182157073308349
1.1602026805648853,-0.4182126832789853
1.164279364305949,-0.4182097056946446
1.1683574307085953,-0.418206916851943
1.172436882027253,-0.41820425577625325
1.1765177225676111,-0.41820170957628344
1.1805999566353587,-0.41819926536074153
1.1846835813600365,-0.4181969317238222
1.188768600863026,-0.4181946522724095
1.1928550133780216,-0.4181924511749816
1.196942818620378,-0.41819030909173227
1.201032016305452,-0.4181882066828551
1.2051226066230056,-0.4181861568415543
1.2092145895171154,-0.4181841201388482
1.2133079650117486,-0.4181821134728718
1.2174027332054305,-0.4181801292712482
1.2214988942683411,-0.41817815445441714
1.2255964482183939,-0.4181761876455829
1.2296953949185616,-0.41817422487280637
1.233795734440499,-0.4181722606289043
1.2378974667036182,-0.41817029295985453
1.2420005915599732,-0.41816832217673977
1.2461051090047548,-0.4181663437772945
1.2502110190240983,-0.41816436060637946
1.2543183215626754,-0.41816236986055794
1.2584270166835059,-0.4181603719599563
1.2625371045270641,-0.4181583684954387
1.2666485850692328,-0.41815635857005196
1.2707614584148852,-0.4181543436726495
1.2748757246230178,-0.4181523243164795
1.278991383660095,-0.41815030147638615
1.2831084353471505,-0.4181482762369364
1.2872268796403246,-0.4181462499607826
1.2913467163954047,-0.41814422262100504
1.2954679454421003,-0.4181421953596719
1.2995905667810421,-0.4181401683649032
1.3037145806523838,-0.41813814101808744
1.3078399870393669,-0.41813611330176165
1.3119667858481647,-0.4181340856739933
1.316094977166508,-0.41813205770176765
1.3202245611852839,-0.41813002925488746
1.3243555382902126,-0.4181280003488128
1.32848790873037,-0.4181259706835831
1.3326216717355162,-0.4181239412409721
1.3367568273403816,-0.4181219121692019
1.3408933752703516,-0.41811988378188125
1.3450313153327584,-0.4181178561468312
1.3491706473118832,-0.41811582964683797
