# Frequencia	 Amplitude	 frequencia	 Amplitude
3.591599821746880306e-01	-4.190161192435429838e-01	3.591599821746880306e-01	-4.190107068717793815e-01
3.601604278074866383e-01	-4.190158493774328030e-01	3.601604278074866383e-01	-4.190099324695122363e-01
3.611608734402851906e-01	-4.190154346510432948e-01	3.611608734402851906e-01	-4.190089786866713073e-01
3.621613190730837428e-01	-4.190148847255482090e-01	3.621613190730837428e-01	-4.190078569387782337e-01
3.631617647058823506e-01	-4.190142120547669657e-01	3.631617647058823506e-01	-4.190065818284003929e-01
3.641622103386809028e-01	-4.190134322413121559e-01	3.641622103386809028e-01	-4.190051708861252666e-01
3.651626559714795106e-01	-4.190125643007365230e-01	3.651626559714795106e-01	-4.190036446184699503e-01
3.661631016042780629e-01	-4.190116300399092664e-01	3.661631016042780629e-01	-4.190020264173718867e-01
3.671635472370766151e-01	-4.190106532118022531e-01	3.671635472370766151e-01	-4.190003420918071431e-01
3.681639928698752229e-01	-4.190096600216727807e-01	3.681639928698752229e-01	-4.189986193018461758e-01
3.691644385026737751e-01	-4.190086779920511595e-01	3.691644385026737751e-01	-4.189968872303358460e-01
3.701648841354723829e-01	-4.190077342094805646e-01	3.701648841354723829e-01	-4.189951760231612754e-01
3.711653297682709352e-01	-4.190068551289160559e-01	3.711653297682709352e-01	-4.189935156713918141e-01
3.721657754010694874e-01	-4.190060656814749152e-01	3.721657754010694874e-01	-4.189919346640128550e-01
3.731662210338680952e-01	-4.190053884173877696e-01	3.731662210338680952e-01	-4.189904589700031434e-01
3.741666666666666474e-01	-4.190048427647831142e-01	3.741666666666666474e-01	-4.189891114617483869e-01
3.751671122994651997e-01	-4.190044448582881387e-01	3.751671122994651997e-01	-4.189879114298575291e-01
3.761675579322638074e-01	-4.190042074016947504e-01	3.761675579322638074e-01	-4.189868740846974249e-01
3.771680035650623597e-01	-4.190041392879265691e-01	3.771680035650623597e-01	-4.189860101706735507e-01
3.781684491978609675e-01	-4.190042448974488076e-01	3.781684491978609675e-01	-4.189853257447792023e-01
3.791688948306595197e-01	-4.190045234519162998e-01	3.791688948306595197e-01	-4.189848220045275240e-01
3.801693404634580720e-01	-4.190049686997256440e-01	3.801693404634580720e-01	-4.189844950049436689e-01
3.811697860962566797e-01	-4.190055689770144642e-01	3.811697860962566797e-01	-4.189843353693573080e-01
3.821702317290552320e-01	-4.190063072112951703e-01	3.821702317290552320e-01	-4.189843281607971148e-01
3.831706773618538397e-01	-4.190071607557903088e-01	3.831706773618538397e-01	-4.189844530097460162e-01
3.841711229946523920e-01	-4.190081016044159279e-01	3.841711229946523920e-01	-4.189846842202705757e-01
3.851715686274509443e-01	-4.190090972032491923e-01	3.851715686274509443e-01	-4.189849910817902146e-01
3.861720142602495520e-01	-4.190101116691611893e-01	3.861720142602495520e-01	-4.189853395430315208e-01
3.871724598930481043e-01	-4.190111099778634496e-01	3.871724598930481043e-01	-4.189857017132235795e-01
3.881729055258467120e-01	-4.190120637492492084e-01	3.881729055258467120e-01	-4.189860618091328370e-01
3.891733511586452643e-01	-4.190129524501935432e-01	3.891733511586452643e-01	-4.189864131746919851e-01
3.901737967914438165e-01	-4.190137586844031592e-01	3.901737967914438165e-01	-4.189867531361584074e-01
3.911742424242424243e-01	-4.190144654743857555e-01	3.911742424242424243e-01	-4.189870798433321109e-01
3.921746880570409766e-01	-4.190150571003078972e-01	3.921746880570409766e-01	-4.189873915109572633e-01
3.931751336898395843e-01	-4.190155197625997641e-01	3.931751336898395843e-01	-4.189876867092398038e-01
3.941755793226381366e-01	-4.190158424111737334e-01	3.941755793226381366e-01	-4.189879648401138024e-01
3.951760249554366888e-01	-4.190160177146591836e-01	3.951760249554366888e-01	-4.189882262213001085e-01
3.961764705882352966e-01	-4.190160424530668393e-01	3.961764705882352966e-01	-4.189884722923897242e-01
3.971769162210338489e-01	-4.190159178242227056e-01	3.971769162210338489e-01	-4.189887057784324464e-01
3.981773618538324011e-01	-4.190156482030821805e-01	3.981773618538324011e-01	-4.189889307304942578e-01
3.991778074866310089e-01	-4.190152411217957229e-01	3.991778074866310089e-01	-4.189891520435229944e-01
4.001782531194295611e-01	-4.190147068300542066e-01	4.001782531194295611e-01	-4.189893749308263859e-01
4.011786987522281689e-01	-4.190140581774707829e-01	4.011786987522281689e-01	-4.189896045150172110e-01
4.021791443850267211e-01	-4.190133105168547534e-01	4.021791443850267211e-01	-4.189898456108431812e-01
4.031795900178252734e-01	-4.190124815872829367e-01	4.031795900178252734e-01	-4.189901026896400427e-01
4.041800356506238812e-01	-4.190115914229713967e-01	4.041800356506238812e-01	-4.189903801283857976e-01
4.051804812834224334e-01	-4.190106622560205163e-01	4.051804812834224334e-01	-4.189906827935638289e-01
4.061809269162210412e-01	-4.190097182184924218e-01	4.061809269162210412e-01	-4.189910164845220830e-01
4.071813725490195934e-01	-4.190087846447764219e-01	4.071813725490195934e-01	-4.189913879286949472e-01
